,F06,F07,F08,F09,F11,F14,F18,F19,F21,F22,G01,G02,G03,G05,G07,G09,G10,L02,L03,L04,L06,L07,L08,L11,L13,L14,L15,L16,L17,L18,L20,L21,L22,L23,M02,M03,M04,M07,M08,M09,R03,R04,R05,R06,R08,R10,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,52,0,178,0,0,0,Bacteria(100.0),Actinobacteriota(100.0),Actinobacteria(100.0),Mycobacteriales(100.0),Mycobacteriaceae(100.0),Corynebacterium(100.0),Corynebacterium glutamicum(31.10244934803757)
Zotu971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,32,0,Bacteria(100.0),Actinobacteriota(54.93333333333332),Actinobacteria(54.93333333333332),Actinomycetales(54.93333333333332),Micrococcaceae(54.93333333333332),Arthrobacter_D(54.93333333333332),Arthrobacter_D sp002929375(27.46666666666666)
Zotu1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,Bacteria(100.0),Actinobacteriota(54.93333333333332),Actinobacteria(54.93333333333332),Actinomycetales(54.93333333333332),Micrococcaceae(54.93333333333332),Arthrobacter_D(54.93333333333332),Arthrobacter_D sp002929375(27.46666666666666)
Zotu870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,Bacteria(100.0),Actinobacteriota(58.93333333333332),Actinobacteria(58.93333333333332),Actinomycetales(58.93333333333332),Micrococcaceae(58.93333333333332),Arthrobacter_D(58.93333333333332),Arthrobacter_D sp002929375(29.46666666666666)
Zotu1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,Bacteria(100.0),Actinobacteriota(58.93333333333332),Actinobacteria(58.93333333333332),Actinomycetales(58.93333333333332),Micrococcaceae(58.93333333333332),Arthrobacter_D(58.93333333333332),Arthrobacter_D sp002929375(29.46666666666666)
Zotu1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,Bacteria(100.0),Actinobacteriota(59.19999999999999),Actinobacteria(59.19999999999999),Actinomycetales(59.19999999999999),Micrococcaceae(59.19999999999999),Arthrobacter_D(59.19999999999999),Arthrobacter_D sp002929375(29.599999999999994)
Zotu1312,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(34.4),Niastella koreensis(33.53333333333333)
Zotu972,0,0,0,0,0,0,0,0,0,0,8,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(34.83333333333333),Niastella koreensis(31.5)
Zotu1105,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(36.0),Chitinophaga dinghuensis(24.749999999999996)
Zotu1212,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(39.633333333333326),Niastella koreensis(28.58333333333334)
Zotu936,0,0,0,0,0,0,0,0,0,0,13,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(52.66666666666666),Niastella koreensis(47.333333333333336)
Zotu1326,0,0,0,0,0,0,0,0,0,0,5,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(52.66666666666666),Niastella koreensis(47.33333333333334)
Zotu1213,0,0,0,0,0,0,0,0,0,0,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(54.33333333333333),Niastella koreensis(45.66666666666667)
Zotu1031,0,0,0,0,0,0,0,0,0,0,12,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(55.16666666666666),Niastella koreensis(44.833333333333336)
Zotu884,0,0,0,0,0,0,0,0,0,0,6,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(61.0),Niastella koreensis(39.0)
Zotu992,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(64.0),Niastella koreensis(36.0)
Zotu1108,0,0,0,0,0,0,0,0,0,0,6,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Niastella(32.33333333333333),Niastella koreensis(32.33333333333333)
Zotu845,0,0,0,0,0,0,0,0,0,0,13,0,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),UBA7600(100.0),UBA7600 sp002390845(100.0)
Zotu1056,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),UBA7600(100.0),UBA7600 sp002390845(100.0)
Zotu1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(52.5)
Zotu854,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(55.33333333333334)
Zotu1245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(56.75)
Zotu1197,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(57.99999999999999)
Zotu1266,0,0,0,0,0,0,0,0,0,0,0,109,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,344,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(99.0)
Zotu836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter swuensis(47.833333333333336)
Zotu876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter swuensis(51.5)
Zotu1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(97.0),Hymenobacter coccineus(55.00000000000001)
Zotu1030,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.0),Hymenobacter coccineus(49.83333333333334)
Zotu1168,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.5),Hymenobacter coccineus(56.58333333333334)
Zotu1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.5),Hymenobacter coccineus(61.83333333333334)
Zotu996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.66666666666667),Hymenobacter coccineus(47.75)
Zotu1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.0),Hymenobacter coccineus(58.5)
Zotu1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.25),Hymenobacter coccineus(57.08333333333333)
